id,timestamp,image_path,predicted_class,predicted_label,confidence,status,missing_items,corrected_class,corrected_label,notes,face_count,training_candidate,exported_for_training,created_at,workplace_id,model_version,device_id,detected_hamer,detected_schaar,detected_sleutel,total_detections,model_type
218,20251222_214016,uploads\inspect_20251222_214016.jpg,3,NOK - Schaar weg,0.7664985656738281,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 20:40:16,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
217,20251222_213958,uploads\inspect_20251222_213958.jpg,0,OK,0.9852002859115601,OK,[],,,,0,0,0,2025-12-22 20:39:58,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
216,20251222_213937,uploads\inspect_20251222_213937.jpg,0,OK,0.9717934727668762,OK,[],,,,0,0,0,2025-12-22 20:39:37,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
215,20251222_212431,uploads\inspect_20251222_212431.jpg,4,NOK - Schaar en sleutel weg,0.9928961396217346,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:24:31,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
214,20251222_212416,uploads\inspect_20251222_212416.jpg,4,NOK - Schaar en sleutel weg,0.9928961396217346,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:24:16,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
213,20251222_212402,uploads\inspect_20251222_212402.jpg,2,NOK - Hamer weg,0.9980161190032959,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 20:24:02,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
212,20251222_212347,uploads\inspect_20251222_212347.jpg,2,NOK - Hamer weg,0.9985414743423462,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 20:23:47,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
211,20251222_211906,uploads\inspect_20251222_211906.jpg,4,NOK - Schaar en sleutel weg,0.9971766471862793,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:19:06,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
210,20251222_211658,uploads\inspect_20251222_211658.jpg,1,NOK - Alles weg,0.9774327278137207,NOK,"[""hamer"", ""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:16:58,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
209,20251222_211514,uploads\inspect_20251222_211514.jpg,2,NOK - Hamer weg,0.9992579817771912,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 20:15:14,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
